id,text,pos,lemma,level,sense,type
268,དོན,NULL,NULL,1,NULL,1
269,མཐོང་བ,NULL,NULL,1,NULL,1
270,མི་འདུག་ག,NULL,NULL,1,NULL,1
271,ཟླ་བ,NULL,NULL,1,NULL,1
272,གཉིད,NULL,NULL,1,NULL,1
273,རང་ཉིད,NULL,NULL,1,NULL,1
274,ཨ་ཅག,NULL,NULL,1,NULL,1
275,ཕོ་བྲང,NULL,NULL,1,NULL,1
276,དག,NULL,NULL,1,NULL,1
277,བོང་བུ,NULL,NULL,1,NULL,1
278,ཚུར,NULL,NULL,1,NULL,1
279,ལངས,NULL,NULL,1,NULL,1
280,མ,NULL,NULL,1,NULL,1
281,མཚན་ཉིད,NULL,NULL,1,NULL,1
282,འདོད,NULL,NULL,1,NULL,1
283,བོད་པ,NULL,NULL,1,NULL,1
284,མདུན,NULL,NULL,1,NULL,1
285,ཤིན་ཏུ,NULL,NULL,1,NULL,1
286,དངོས་གནས་དྲང་གནས,NULL,NULL,1,NULL,1
287,མགྱོགས་པོ,NULL,NULL,1,NULL,1
288,ཆེ་བ,NULL,NULL,1,NULL,1
289,ཡུལ,NULL,NULL,1,NULL,1
290,ཁོ་གཉིས,NULL,NULL,1,NULL,1
291,གཞན་པ,NULL,NULL,1,NULL,1
292,བདག,NULL,NULL,1,NULL,1
293,མིན,NULL,NULL,1,NULL,1
294,ཁ་ལག,NULL,NULL,1,NULL,1
295,ཆེད,NULL,NULL,1,NULL,1
296,གནས་ཚུལ,NULL,NULL,1,NULL,1
297,བཞག་ན,NULL,NULL,1,NULL,1
298,ཙམ,NULL,NULL,1,NULL,1
299,ཞེ་དྲག,NULL,NULL,1,NULL,1
300,ཡིན་ས,NULL,NULL,1,NULL,1
301,གསུངས,NULL,NULL,1,NULL,1
302,ངས,NULL,NULL,2,NULL,1
303,ཏིག་ཙི,NULL,NULL,2,NULL,1
304,དམིགས་བསལ,NULL,NULL,2,NULL,1
305,ཞོགས་པ,NULL,NULL,2,NULL,1
306,ཕལ་ཆེར,NULL,NULL,2,NULL,1
307,སེང་གེ,NULL,NULL,2,NULL,1
308,དཀའ་ལས,NULL,NULL,2,NULL,1
309,ཐམས་ཅད,NULL,NULL,2,NULL,1
310,ཐུབ་པ,NULL,NULL,2,NULL,1
311,དེའི,NULL,NULL,2,NULL,1
312,མ་སོང,NULL,NULL,2,NULL,1
313,སློབ་གྲྭ,NULL,NULL,2,NULL,1
314,གལ་ཆེན་པོ,NULL,NULL,2,NULL,1
315,ཙམ་པ,NULL,NULL,2,NULL,1
316,ངོས་ནས,NULL,NULL,2,NULL,1
317,མ་རེད་པ,NULL,NULL,2,NULL,1
318,ཞུས,NULL,NULL,2,NULL,1
319,སྐད་ཡིག,NULL,NULL,2,NULL,1
320,དུས་ཚོད,NULL,NULL,2,NULL,1
321,དེ་ཡང,NULL,NULL,2,NULL,1
